User,Place Name,Tourist Location,Budget,Duration,Best Time to Visit,Popularity,Review,Type
User230,"Agatti Island, Lakshadweep",Agatti Island,1200,4,Winter,High,"""Coral reefs, scuba diving and water sports.""",Adventure
User1,"Agra",,Taj Mahal,1000,3,Year-round,High,"""Impressive architecture, loved the visit.""",Historical
User1,"Agra",,Agra Fort,1200,4,Year-round,High,"""Historical marvel, enjoyed exploring.""",Historical
User1,"Agra",,Fatehpur Sikri,1300,5,Winter,Medium,"""Fascinating historical site, great visit.""",Historical
User1,"Agra",,Akbar Tomb Sikandra,1100,3,Year-round,High,"""Beautiful tomb, peaceful atmosphere.""",Historical
User1,"Agra",,Mariam tomb Sikandra,1000,3,Year-round,Medium,"""Serene and well-maintained tomb.""",Historical
User1,"Agra",,Itimad-ud-Daulah-Tomb,900,2,Year-round,Medium,"""Hidden gem, enjoyed the architecture.""",Historical
User1,"Agra",,Ram Bagh,800,2,Year-round,Low,"""Quiet garden, good for a stroll.""",Nature
User1,"Agra",,Mehtab Bagh,900,2,Year-round,Medium,"""Scenic views of the Taj Mahal.""",Nature
User1,"Agra",,Mausoleum,950,3,Year-round,Medium,"""Rich history, worth a visit.""",Historical
User214,"Aurangabad, Maharashtra",Ajanta and Ellora Caves,1100,3,Winter,High,"""Ancient rock-cut caves, UNESCO World Heritage.""",Historical
User227,"Alleppey, Kerala",Alleppey,1000,3,Winter,High,"""Backwaters cruise, serene and scenic.""",Nature
User218,"Araku Valley, Andhra Pradesh",Araku Valley,1100,3,Winter,High,"""Hill station, coffee plantations.""",Nature
User223,"Auli, Uttarakhand",Auli,1200,4,Winter,High,"""Skiing destination, snow-covered slopes.""",Adventure
User232,"Auroville, Puducherry",Auroville,950,2,Year-round,High,"""Experimental township, diverse community living.""",Unique
User220,"Bandhavgarh National Park, MP",Bandhavgarh National Park,1200,4,Winter,High,"""Tiger reserve, wildlife safari.""",Wildlife
User230,"Bangaram Island, Lakshadweep",Bangaram Island,1300,5,Winter,High,"""Untouched beauty, pristine beaches.""",Beach
User231,"Baratang Island, Andaman",Baratang Island,900,2,Year-round,Medium,"""Limestone caves, mangrove forests.""",Nature
User211,"Barnawapara Wildlife Sanctuary, Chattisgarh",Barnawapara Wildlife Sanctuary,1100,3,Winter,High,"""Rich biodiversity, wildlife enthusiast's delight.""",Wildlife
User101,"Kasargod, Kerala",Bekal Fort,1100,4,Winter,High,"""Scenic beauty, enjoyed the historic fort.""",Historical
User225,"Betla National Park, Jharkhand",Betla National Park,1000,3,Winter,High,"""Tiger reserve, wildlife safari.""",Wildlife
User220,"Bhimbetka Caves, Madhya Pradesh",Bhimbetka Caves,950,2,Year-round,Medium,"""Prehistoric cave art, UNESCO World Heritage.""",Historical
User204,"Bhuj, Gujarat",Kutch Desert Festival,1300,5,Winter,High,"""Cultural extravaganza, vibrant atmosphere.""",Cultural
User204,"Bhuj, Gujarat",White Rann of Kutch,1000,3,Winter,High,"""Spectacular white desert, unique experience.""",Nature
User224,"Bodh Gaya, Bihar",Bodh Gaya,950,2,Year-round,High,"""Buddhist pilgrimage, Mahabodhi Temple.""",Spiritual
User212,"Boudhanath Stupa, Kathmandu",Boudhanath Stupa,1000,3,Year-round,High,"""Buddhist stupa, serene surroundings.""",Spiritual
User200,"Mumbai, Maharashtra",Bhaja Cave Temple & Inscriptions,950,3,Winter,Medium,"""Ancient cave, fascinating inscriptions.""",Historical
User231,"Cellular Jail, Andaman Islands",Cellular Jail,1000,3,Year-round,High,"""Historical prison, light and sound show.""",Historical
User219,"Charminar, Telangana",Charminar,800,2,Year-round,High,"""Iconic monument, historical charm.""",Historical
User216,"Chilika Lake, Odisha",Chilika Lake,1100,3,Winter,High,"""Largest coastal lagoon, birdwatcher's paradise.""",Nature
User211,"Chitrakoot Falls, Chattisgarh",Chitrakoot Falls,1000,3,Monsoon,High,"""Widest waterfall, natural beauty.""",Nature
